Enrollment_No,Student_Name,Surname,Gender,Department,Class,Semester,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,CGPA,HackerRank_Score,LeetCode_Problems_Solved,GitHub_Repositories,Projects_Completed,Internship_Completed,Primary_Skill,Secondary_Skill,Preferred_Domain,Preferred_Location,Expected_Salary_LPA,Communication_Skill_Rating
1,Student0,Surname0,Male,IT,4EK2,8,7.596010815480521,8.926358087021327,9.076892591352534,7.578304302390586,6.04841246710443,6.021253902673384,9.294208906447276,6.161142075111994,72,253,2,3,Yes,Data Science,Database,Data Science,Bangalore,10.71328393941951,4
2,Student1,Surname1,Female,ICT,4EK3,8,6.219046555288125,6.326519928122359,8.498654275417055,7.6873127141553255,6.036153876317169,9.21797856972729,9.282784643067117,7.62169130055662,56,51,7,9,Yes,AI,DevOps,Data Science,Ahmedabad,6.933254470094626,3
3,Student2,Surname2,Male,ICT,4EK1,8,7.340788966583604,6.241408335962255,7.527758558611584,7.644084301062183,7.428117375880049,9.09123829316135,7.909401592489605,8.065133196790697,93,176,4,9,No,Java,ML,Software Dev,Remote,13.320882227877513,5
4,Student3,Surname3,Male,AI,4EK1,8,9.211413794392046,6.988412936040586,6.822749048782221,9.63044401022622,9.704776273727127,8.19367665197425,7.403276437340063,8.322580903638537,56,278,18,2,No,Python,Cloud,Cybersecurity,Remote,4.471536599736079,1
5,Student4,Surname4,Male,IT,4EK1,8,6.018528092018411,6.638178720452753,6.485545672637626,8.856130577867425,6.9147071184144355,6.2658533031050885,7.450239186236378,9.743748992994238,93,184,6,3,No,Python,DevOps,AI,Bangalore,8.201564396797485,5
6,Student5,Surname5,Female,ICT,4EK1,8,7.333996686764577,9.487134266368807,8.460051872155466,8.431620856362816,8.537454755486749,9.066060198130339,9.222858102672872,8.68900274917678,64,75,9,4,Yes,Data Science,DevOps,Web Dev,Bangalore,7.76073120562063,4
7,Student6,Surname6,Male,AI,4EK1,8,7.592674774363774,6.876855949432177,9.098535122551151,7.237490871451128,6.888303482773282,8.334854350925456,7.312717931190448,7.925111804876948,83,267,9,9,No,AI,UI UX,Data Science,Bangalore,14.256646242647156,1
8,Student7,Surname7,Male,IT,4EK1,8,8.149582411751691,9.903461023276526,8.575617014164523,9.295161536885178,7.286679958638194,9.127839908631836,6.836237494827384,9.238700145063557,95,137,14,3,Yes,AI,Database,Cybersecurity,Ahmedabad,4.837617607252847,5
9,Student8,Surname8,Male,AI,4EK1,8,9.679422465651042,7.347583167084427,8.121208532996633,9.820242045939956,9.392168358405936,9.006987969583362,6.338753367501227,9.802131283817635,94,253,8,7,No,Data Science,Cloud,Data Science,Remote,3.1181619001441314,1
10,Student9,Surname9,Female,CSE,4EK2,8,7.385383977463845,6.728471662754798,6.1678048937265455,9.284793130200907,8.915445769079788,9.212008287831349,7.866772483537634,6.088264594729163,53,65,19,3,Yes,Python,Cloud,Data Science,Pune,5.857022553685411,4
11,Student10,Surname10,Male,ICT,4EK3,8,7.387812807584911,9.158794028569917,9.873955110377535,6.006260420765892,6.3815971092528425,8.0720322656185,7.9285283956793675,9.930085089024155,63,200,3,7,No,Java,Cloud,Data Science,Pune,12.843322317223855,3
12,Student11,Surname11,Male,CSE,4EK1,8,8.950004992438993,8.634831102003504,9.194856766618297,8.545605480733627,7.7148080839457345,6.5612980727740595,9.363634841611628,6.344528556254721,63,217,18,7,Yes,Python,DevOps,Data Science,Remote,5.511861792564204,3
13,Student12,Surname12,Male,IT,4EK2,8,7.808871763559228,7.992782865812556,7.1712881468038585,6.204541525768403,6.116679054581057,8.684629893518755,6.884954785784256,9.257547117075045,65,237,5,9,No,AI,UI UX,Data Science,Remote,5.890536764465793,5
14,Student13,Surname13,Male,CSE,4EK2,8,6.898419291759928,8.221454203750525,9.919881317435403,7.030428881334887,7.9235605864120355,8.481895140207882,7.523965094673599,7.12133901020565,56,122,14,2,Yes,Python,ML,Web Dev,Remote,4.55878565444173,2
15,Student14,Surname14,Female,CSE,4EK3,8,7.809758064530774,8.876807113089056,8.407526358545288,6.238098801391087,8.649736046804271,8.969012748796349,9.233622955574763,6.5287186310154866,81,81,4,6,No,Java,DevOps,Cybersecurity,Remote,11.585234439318485,4
16,Student15,Surname15,Male,IT,4EK1,8,6.563428081519199,6.913818965325195,8.329690632828985,8.41518181179755,6.474010494392607,6.679524024202941,9.294494442995894,7.75942255885534,68,64,7,9,Yes,Web Dev,ML,Data Science,Ahmedabad,3.830090286065006,5
17,Student16,Surname16,Female,AI,4EK3,8,6.705547946024893,9.985335664226968,8.99229271771813,8.746359653970426,7.155539755636663,6.779900799601156,7.538444303915073,8.575826317790455,51,278,12,2,No,Python,UI UX,Data Science,Pune,6.97449962794226,5
